ab	abhasiakielâ
kln	kalenjikielâ
xal	kalmukkielâ
kam	kambakielâ
en-CA	Kanada eŋgâlâskielâ
fr-CA	Kanada ranskakielâ
kn	kannada
yue	kantonkielâ
kr	kanurikielâ
kea	Kap Verde kreoli
krc	karachai-balkarkielâ
krl	kärjilkielâ
ks	kashmirkielâ
ca	katalankielâ
lu	katangaluba
kk	kazakkielâ
kha	khasi
km	khmerkielâ
quc	ki’che’
cgg	kigakielâ
ki	kikujukielâ
kmb	kimbundu
ky	kirgiskielâ
gil	kiribatikielâ
cu	kirkkoslaavi
tlh	klingonkielâ
ksh	kölnkielâ
kv	komikielâ
swb	komorikielâ
sw-CD	Kongo swahilikielâ
kok	konkani
ko	koreakielâ
kw	kornikielâ
kfo	koro
co	korsikakielâ
tzm	Koskâatlas tamazight
khq	koyra chiini
ses	koyraboro senni
kpe	kpellekielâ
el	kreikakielâ
hr	kroatiakielâ
kj	kuanjama
kum	kumykkielâ
ku	kurdikielâ
kru	kurukhkielâ
nmg	kwasio
cy	kymrikielâ
es-419	Läättin-Amerika espanjakielâ
la	läättinkielâ
lad	ladinokielâ
lkt	lakotakielâ
lag	langokielâ
lo	laokielâ
lv	latviakielâ
lez	lezgikielâ
lt	liettuakielâ
li	limburgkielâ
ln	lingala
jbo	lojban
loz	lozi
lg	luganda
luy	luhya
lua	lulualuba
lun	lunda
luo	luo
lus	lusai
lb	luxemburgkielâ
nr	maadâ-nbedele
alt	maadâaltaikielâ
sma	maadâsämikielâ
st	maadâsotho
jmc	machame
mad	madurakielâ
mag	magahi
mai	maithili
mak	makasar
mk	makedoniakielâ
kde	makonde
mgh	makua-meetto
mg	malagaskielâ
ms	malaiji
ml	malajam
mt	maltakielâ
zh	mandarinkiinakielâ
mni	manipuri
gv	manks
mul	maŋgâ kielâ
mi	maorikielâ
arn	mapudungun
mr	marathikielâ
chm	marikielâ
mh	marshallkielâ
mas	masaikielâ
mzn	mazandarani
es-MX	Meksiko espanjakielâ
men	mendekielâ
mer	merukielâ
mgo	meta’
mic	micmac
min	minangkabau
mwl	mirandeskielâ
moh	mohawkkielâ
mdf	mokšakielâ
mn	mongoliakielâ
mos	moore
mfe	morisyen
mua	mundang
mus	muskogeekielâ
nqo	n’ko
naq	nama
nan	nan
nap	napolikielâ
na	naurukielâ
nv	navajokielâ
ng	ndonga
ne	nepalkielâ
new	newari
sba	ngambay
nnh	ngiemboon
jgo	ngomba
nia	niaskielâ
pcm	Nigeria pidgin
niu	niuekielâ
ny	njanža
nog	nogaikielâ
nus	nuer
sms	nuorttâlâškielâ
de-AT	Nuorttâriijkâ saksakielâ
nyn	nyankolekielâ
oc	oksitan
zh-Hans	oovtâkiärdánis kiinakielâ
or	orija
om	oromokielâ
os	ossetkielâ
hsb	pajesorbi
pau	palaukielâ
pam	pampangakielâ
pa	pandžabi
pag	pangasinankielâ
pap	papiamentu
ps	paštu
fa	persiakielâ
pt-PT	Portugal portugalkielâ
pt	portugalkielâ
pl	puolakielâ
qu	quechua
fr	ranskakielâ
rap	rapanui
rar	rarotonga
rm	retoroomaankielâ
ro	romaniakielâ
ro-MD	romaniakielâ (Moldova)
rof	rombo
rom	roomaankielâ
rw	ruandakielâ
rn	rundi
ru	ruošâkielâ
sv	ruotâkielâ
root	ruotâs
rwk	rwa
ssy	saho
de	saksakielâ
saq	samburukielâ
sm	samoakielâ
sad	sandawe
sg	sango
sbp	sangu
sa	sanskrit
sat	santalikielâ
sc	sardiniakielâ
seh	sena
sr	serbiakielâ
crs	Seychellij kreoliranska
ksb	shambala
shn	shankielâ
sn	shona
bla	siksikakielâ
sd	sindhi
si	sinhala
scn	sisiliakielâ
sco	skootikielâ
gd	skottilâš gaelikielâ
sk	slovakiakielâ
sl	sloveniakielâ
xog	soga
so	somalikielâ
snk	soninke
ckb	sorani kurdikielâ
srn	sranantongo
ar-001	standard arabiakielâ
zgh	standard tamazight
suk	sukumakielâ
su	sundakielâ
fi	suomâkielâ
de-CH	Sveitsi pajesaksakielâ
fr-CH	Sveitsi ranskakielâ
gsw	Sveitsi saksakielâ
sw	swahilikielâ
ss	swazikielâ
syr	syyriakielâ
tg	tadžikkielâ
ty	tahitikielâ
dav	taitakielâ
ta	tamilkielâ
da	tanskakielâ
trv	taroko
no	tárukielâ
nb	tárukielâ bokmål
nn	tárukielâ nynorsk
twq	tasawaq
shi	tašelhit
tt	tatarkielâ
nd	tave-nbedele
se	tavekielâ
lrc	taveluri
nso	tavesotho
te	telugu
tem	temnekielâ
tet	tetum
th	thaikielâ
tig	tigrekielâ
ti	tigrinyakielâ
bo	tiibetkielâ
tpi	tok pisin
to	tongakielâ
grc	toovláš kreikakielâ
prg	toovláš preussikielâ
non	toovláš tárukielâ
cs	tšeekikielâ
ce	tšetšenkielâ
ts	tsongakielâ
cv	tšuvaskielâ
tn	tswanakielâ
und	tubdâmettumis kielâ
tum	tumbukakielâ
tk	turkmenkielâ
tr	tuurkikielâ
tyv	tuvakielâ
tvl	tuvalukielâ
kcg	tyap
udm	udmurtkielâ
ug	uigurkielâ
uk	ukrainakielâ
umb	umbundu
hu	uŋgarkielâ
ur	urdu
uz	uzbekkielâ
vai	vaikielâ
ve	vendakielâ
vep	vepsäkielâ
be	vielgisruošâkielâ
fy	viestârfriisi
mrj	viestârmari
vi	vietnamkielâ
vo	volapük
nds-NL	Vuáládâhenâmij saksakielâ
vun	vunjo
dsb	vyelisorbi
wae	walliskielâ
wa	walloonkielâ
war	waraykielâ
wal	wolaitakielâ
wo	wolofkielâ
wuu	wuu
xh	xhosakielâ
yav	yangben
ybb	yemba
yo	yorubakielâ
dje	zarmakielâ
zza	zazakielâ
zu	zulukielâ
zun	zunikielâ
