kok		kok	kok	कोंकणी
ks		ks	ks	کٲشُر
ksb		ksb	ksb	Kishambaa
ksf		ksf	ksf	rikpa
ksh		ksh	ksh	Kölsch
kw		kw	kw	kernewek
ky		ky	ky	кыргызча
lag		lag	lag	Kɨlaangi
lb		lb	lb	Lëtzebuergesch
lg		lg	lg	Luganda
lkt		lkt	lkt	Lakȟólʼiyapi
ln		ln	ln	lingála
lo		lo	lo	ລາວ
lrc		lrc	lrc	لۊری شومالی
lt		lt	lt	lietuvių
lu		lu	lu	Tshiluba
luo		luo	luo	Dholuo
luy		luy	luy	Luluhia
lv		lv	lv	latviešu
mas		mas	mas	Maa
mer		mer	mer	Kĩmĩrũ
mfe		mfe	mfe	kreol morisien
mg		mg	mg	Malagasy
mgh		mgh	mgh	Makua
mgo		mgo	mgo	metaʼ
mk		mk	mk	македонски
ml		ml	ml	മലയാളം
mn		mn	mn	монгол
mr		mr	mr	मराठी
ms		ms	ms	Bahasa Melayu
mt		mt	mt	Malti
mua		mua	mua	MUNDAŊ
my		my	my	မြန်မာ
mzn		mzn	mzn	مازرونی
naq		naq	naq	Khoekhoegowab
nb		nb	nb	norsk bokmål
nd		nd	nd	isiNdebele
nds-NL	NL	nds-NL	nds-NL	nds (NL)
ne		ne	ne	नेपाली
nl		nl	nl	Nederlands
nl-BE	BE	nl-BE	nl-BE	Nederlands (België)
nmg		nmg	nmg	nmg
nn		nn	nn	nynorsk
nnh		nnh	nnh	Shwóŋò ngiembɔɔn
nus		nus	nus	Thok Nath
nyn		nyn	nyn	Runyankore
om		om	om	Oromoo
or		or	or	ଓଡ଼ିଆ
os		os	os	ирон
pa		pa	pa	ਪੰਜਾਬੀ
pl		pl	pl	polski
prg		prg	prg	prūsiskan
ps		ps	ps	پښتو
pt		pt	pt	português
pt-PT	PT	pt-PT	pt-PT	português europeu
qu		qu	qu	Runasimi
rm		rm	rm	rumantsch
rn		rn	rn	Ikirundi
ro		ro	ro	română
ro-MD	MD	ro-MD	ro-MD	moldovenească
rof		rof	rof	Kihorombo
root		root	root	root
ru		ru	ru	русский
rw		rw	rw	Kinyarwanda
rwk		rwk	rwk	Kiruwa
sah		sah	sah	саха тыла
saq		saq	saq	Kisampur
sbp		sbp	sbp	Ishisangu
se		se	se	davvisámegiella
seh		seh	seh	sena
ses		ses	ses	Koyraboro senni
sg		sg	sg	Sängö
shi		shi	shi	ⵜⴰⵛⵍⵃⵉⵜ
si		si	si	සිංහල
sk		sk	sk	slovenčina
sl		sl	sl	slovenščina
smn		smn	smn	anarâškielâ
sn		sn	sn	chiShona
so		so	so	Soomaali
sq		sq	sq	shqip
sr		sr	sr	српски
sv		sv	sv	svenska
sw		sw	sw	Kiswahili
sw-CD	CD	sw-CD	sw-CD	Kingwana
ta		ta	ta	தமிழ்
te		te	te	తెలుగు
teo		teo	teo	Kiteso
th		th	th	ไทย
ti		ti	ti	ትግርኛ
tk		tk	tk	tk
to		to	to	lea fakatonga
tr		tr	tr	Türkçe
twq		twq	twq	Tasawaq senni
tzm		tzm	tzm	Tamaziɣt n laṭlaṣ
ug		ug	ug	ئۇيغۇرچە
uk		uk	uk	українська
ur		ur	ur	اردو
uz		uz	uz	o‘zbek
vai		vai	vai	ꕙꔤ
vi		vi	vi	Tiếng Việt
vo		vo	vo	vo
vun		vun	vun	Kyivunjo
wae		wae	wae	Walser
xog		xog	xog	Olusoga
yav		yav	yav	nuasue
yi		yi	yi	ייִדיש
yo		yo	yo	Èdè Yorùbá
yue		yue	yue	粵語
zgh		zgh	zgh	ⵜⴰⵎⴰⵣⵉⵖⵜ
zh		zh	zh	中文
zh-Hans	Hans	zh-Hans	zh-Hans	简体中文
zh-Hant	Hant	zh-Hant	zh-Hant	繁體中文
zu		zu	zu	isiZulu
